"","meanSIS","meanRain","nEvents","windowstart","windowend","hours","variable","value","measure"
"453",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Natalie",257,"stren"
"454",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Natalie",106,"stren"
"455",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Natalie",70,"stren"
"456",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Natalie",108,"stren"
"457",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Natalie",65,"stren"
"458",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Natalie",70,"stren"
"459",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Natalie",58,"stren"
"476",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Sian",432,"stren"
"477",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Sian",391,"stren"
"478",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Sian",199,"stren"
"518",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Catherine",97,"stren"
"519",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Catherine",255,"stren"
"520",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Catherine",408,"stren"
"521",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Catherine",225,"stren"
"522",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Catherine",47,"stren"
"523",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Catherine",47,"stren"
"524",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Catherine",61,"stren"
"525",171.824312852352,2.32747252747253,573,2006-07-11,2006-10-09,172.066666666667,"Catherine",93,"stren"
"543",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Rushenka",94,"stren"
"544",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Rushenka",338,"stren"
"545",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Rushenka",408,"stren"
